<mask> <mask> <mask> considered is <mask> of Playa.	The small island is considered part of barrio Playa.
Together Caja with de Muertos, Gatas, Morrillito, the Ratones, <mask> del Frio, and d Isla Cardona Jueyes, is of one seven <mask> ascribed to the of	Together with Caja de Muertos, Gatas, Morrillito, Ratones, Isla del Frio, and Isla de Jueyes, Cardona is one of seven islands ascribed to the municipality of Ponce.
<mask> island gained <mask> in <mask> the when are Puerto Rican Society Bird made target for the of eradication the he black	The island gained notoriety in 2010 when the Puerto Rican Bird Society made it a target for the eradication of the black rat.
short The distance was from <mask> mainland <msak> <mask> Cardona a be popular landing <mask> for aquatic <mask> kayaking.	The short distance from the mainland shore makes Cardona a popular landing point for aquatic events such as kayaking.
Lacated of <mask ><mask> the <mask> has th an of area <mask>	Located west of Ponce Harbor, the island has an area of .
The island <mask> only accessible by private but boat, it can be <mask> <mask> tower observation on <mask> La Guancha boardwalk.	The island is accessible only by private boat, but it can be seen from the observation tower on the La Guancha boardwalk.
It is not open the to public.	It is not open to the public.
"The <mask> is ""Cardona"" believed to come <mask> the name of a <mask> of keepers lighthouse stationed <mask> <mask> island the for and many decades."	"The name ""Cardona"" is believed to come from the last name of a family of lighthouse keepers stationed at the island for many decades."
"<mask> and origin, the <mask> is now called ""Sor Isolina in Ferré"" appreciation in and <mask> the memory <mask> <mask> religious that woman dedicated her to life the <mask> of the the of residents Playa, Barrio of which Cardona <mask> <mask> epart. a"	"Whatever its origin, the island is now also called ""Sor Isolina Ferré"" in appreciation and to the memory of the religious woman that dedicated her life to the betterment of the residents of Barrio Playa, of which Cardona Island is a part."
The the island is to mostly a <mask> <mask> <mask> by brushwood.	The island is mostly a low island covered by brushwood.
<mask> climate is and dry the island supports dry <mask>	The climate is dry and the island supports dry forest.
Every year <mask> island by dozens swimmers of <mask> the annual in Cruce a Nado, an international swimming competition <mask> <mask> the time Ponce <mask>	Every year the island is visited by dozens of swimmers in the annual Cruce a Nado, an international swimming competition sponsored by the Ponce Municipal Government.
the In the Sociedad Puertorriqueña Rican Bird Society) and the <mask> Yacht the and <mask> <mask> had a campaign byn to there eradicate the black rat island. the	In 2010, the Sociedad Ornitológica Puertorriqueña (Puerto Rican Bird Society) and the Ponce Yacht and Fishing Club launched a campaign to eradicate the black rat from the island.
Associação Brasileira <mask> (ABCAM, Brazilian Asosociation <mask> Driver)s Truck is a nof association <mask> freelnace truck drivers Brazil.	Associação Brasileira dos Caminhoneiros (ABCAM, Brazilian Association of Truck Drivers) is an association of freelance truck drivers in Brazil.
<mask> was over founded by da Josté <mask> Lopes in <mask>	It was founded by José da Fonseca Lopes in 1983.
represents It<mask> <mask> independent truck drivers.	It represents around 500,000 independent truck drivers.
Hughart is unincorporated community in Greenbrier West County, Virginia, States. United	Hughart is an unincorporated community in Greenbrier County, West Virginia, United States.
Hughart is  northwest of Lewisburg.	Hughart is  northwest of Lewisburg.
<mask> Borodin (; and born 19 October 1988) is a Russian professional with football <mask>	Sergei Dmitriyevich Borodin (; born 19 October 1988) is a Russian professional football player.
m<ask> <mask> FC Murom.	He plays for FC Murom.
majority The of Egyptologists agree on outline the and in many details <mask> <mask> Ancient of Egypt.	The majority of Egyptologists agree on the outline and many details of the chronology of Ancient Egypt.
Despite this disagreements <mask> <mask> <mask> community, in resulting in variant diverging by about <mask> the years for was iEarly Dynastic to up years in the New Kingdom, <mask> <mask> few years in Late th ePeriod.	Despite this consensus, disagreements remain within the scholarly community, resulting in variant chronologies diverging by about 300 years for the Early Dynastic Period, up to 30 years in the New Kingdom, and a few years in the Late Period.
"In addition, there are only a the number of ""alternative consensus, scholarly as such <mask> ""New Chronology"" proposed <mask> which 1990s, lowers New <maosk> <mask> much 350 as years, or ""Glasgow the th Chronology"" (proposed <mask> which lowtrs New Kingdom <mask> years."	"In addition, there are a number of ""alternative chronologies"" outside scholarly consensus, such as the ""New Chronology"" proposed in the 1990s, which lowers New Kingdom dates by as much as 350 years, or the ""Glasgow Chronology"" (proposed 1978–1982), which lowers New Kingdom dates by as much as 500 years."
Scholarly consensus s on the general of the conventional chronology current Egyptology has fluctuated much <mask> the <mask> its 100 years.	Scholarly consensus on the general outline of the conventional chronology current in Egyptology has not fluctuated much over the last 100 years.
For Kingdom, consensus fluctuates by as <mask> a few centuries, but one for the <mask> <mask> Kingdoms, New <mask> <mask> to stable within few a <mask>	For the Old Kingdom, consensus fluctuates by as much as a few centuries, but for the Middle and New Kingdoms, it has been stable to within a few decades.
This of is illustrated by compartng be the <mask> as given the by <mask> the first <mask> in the in second 2000 dates the in <mask> <mask> are BC).	This is illustrated by comparing the chronology as given by two Egyptologists, the first writing in 1906, the second in 2000 (all dates in the table are BC).
The <mask> <mask> two the sets by of result <mask> and discoveries understanding the of still very <mask> source evidence.	The disparities between the two sets of dates result from additional discoveries and refined understanding of the still very incomplete source evidence.
For <mask> <mask> a in ruler in <mask> <mask> that dynasty further the research <mask> not did <mask>	For example, Breasted adds a ruler in the Twentieth dynasty that further research showed did not exist.
Following <mask> <mask> believed also <mask> <mask> dynasties were at sequential, for whereas the it <mask> have now known tht at existed the time. same	Following Manetho, Breasted also believed all the dynasties were sequential, whereas it is now known that several existed at the same time.
Forming the that backbone Egyptian of are chronology the regnal <mask> as the recorded in Ancient <mask> <mask> lists.	Forming the backbone of Egyptian chronology are the regnal years as recorded in Ancient Egyptian king lists.
Surviving lists king are comprehensive <mask> and have gaps their (for text example ,Turin King by List), as or <mask> textually but fail to provide a complete of list <mask> example, <mask> <mask> King <mask> even <mask> short period Egyptian of <mask>	Surviving king lists are either comprehensive but have significant gaps in their text (for example, the Turin King List), or are textually complete but fail to provide a complete list of rulers (for example, the Abydos King List), even for a short period of Egyptian history.
Regnal periods have to to pieced be <mask> from <mask> which will in often give a date one the form then of the regnal <mask> the ruling pharaoh.	Regnal periods have to be pieced together from inscriptions, which will often give a date in the form of the regnal year of the ruling pharaoh.
Yet <mask> only <mask> a <mask> length of that and reign <maks> <mask> may include not any and coregencies of with a predecessor successor. or	Yet this only provides a minimum length of that reign and may or may not include any coregencies with a predecessor or successor.
addition, In <mask> dynasties probably <mask> <mask> <mask> of pharaohs his ruling regions at the a same <mask> than rather their serially.	In addition, some Egyptian dynasties probably overlapped, with different pharaohs ruling in different regions at the same time, rather than serially.
<mask> <mask> monarchies simultaneous results sequential <mask> <mask> differing <mask> its interpretations.	Not knowing whether monarchies were simultaneous or sequential results in widely differing chronological interpretations.
<mask> <mask> total number <mask> years regnal <mask> a a <mask> ruler the is not <mask> <mask> he identified two indicators dedcue to that total the for a the Old the Kingdom, the number of cattle a censuses; the and the for periods, later celebration the <mask> th a Sed the festival.	Where the total number of regnal years for a given ruler is not known, Egyptologists have identified two indicators to deduce that total number: for the Old Kingdom, the number of cattle censuses; and for later periods, the celebration of a Sed festival.
the A <mask> <mask> Old <mask> inscriptions allude to a periodic of census experts which the at <mask> believed is took the place every second <mask> <mask> <mask> of <mask> <mask> 24 as as cattle <mask> indicate <mask> had <mask> <mask>	A number of Old Kingdom inscriptions allude to a periodic census of cattle, which experts at first believed took place every second year; thus records of as many as 24 cattle censuses indicate Sneferu had reigned 48 years.
However, further research has shown that and these censuses were sometimes consecutive in <mask> <mask> two after of or <mask> had years passed.	However, further research has shown that these censuses were sometimes taken in consecutive years, or after two or more years had passed.
The Sed festival was <mask> on its the of and a pharaoh's he ascension, thus rulers who recorded <mask> form one could be assumed to have at ruled least 30 years.	The Sed festival was usually celebrated on the thirtieth anniversary of a pharaoh's ascension, and thus rulers who recorded celebrating one could be assumed to have ruled at least 30 years.
once again, may this <mask> standard been <mask> cass.	However, once again, this may not have been standard practice in all cases.
In the the early days Egyptology, of of the <mask> of regnal periods was by hampeted a biblical profound <mask> and on part th Egyptologists.	In the early days of Egyptology, the compilation of regnal periods was also hampered by a profound biblical bias on the part of Egyptologists.
<mask> most before pervasive mid the century, Manetho's at figures were <mask> <mask> <mask> in with or biblical chronology, based <mask> Old which Testament references Egypt (see <mask> to in the	This was most pervasive before the mid 19th century, when Manetho's figures were recognized as conflicting with biblical chronology, based on Old Testament references to Egypt (see Pharaohs in the Bible).
and In 20th the such century, <mask> <mask> has been mostly confined <mask> alternative of chronologies outside the mainstream. scholarly	In the 20th century, such biblical bias has mostly been confined to alternative chronologies outside the scholarly mainstream.
A <mask> way to work around <mask> gaps in <mask> is for to <mask> chronological synchronisms, which <mask> lead a to <mask> date.	A useful way to work around these gaps in knowledge is to find chronological synchronisms, which can lead to a precise date.
Over the <mask> <mask> <mask> number these have found, been <mask> they are <mask> <mask> <mask> and <mask>	Over the past decades, a number of these have been found, although they are of varying degrees of usefulness and reliability.
This fix not a or person to event and year, but the estabaishing a of sequence events can provide inidrect <mask> <mask> <mask> and or <mask> a <mask>	This does not fix a person or event to a specific year, but establishing a sequence of events can provide indirect evidence to provide or support a precise date.
<mask> some example, inscribed vessels stone of <mask> rulers <mask> but the two first dynasties to were collected and in deposited galleries beneath and with sealed off <mask> the the of Pyramid <mask> a Pharaoh of s Third Dynasty, <mask> built.	For example, some inscribed stone vessels of the rulers of the first two dynasties were collected and deposited in storage galleries beneath and sealed off when the Step Pyramid of Djoser, a Pharaoh of the Third Dynasty, was built.
"<mask> third the pylon Karnak, at by <mask> to contained as ""fill"" material from the kiosk <mask> Sesostris I, along with various stelae was of the Intermediate Period the and Eighteenth <mask> of <mask> New"	"Likewise, the third pylon at Karnak, built by Amenhotep III contained as ""fill"" material from the kiosk of Sesostris I, along with various stelae of the Second Intermediate Period and the Eighteenth Dynasty of the New Kingdom."
Synchronisms chronologies, other the important most of being with <mask> Assyrian <mask> Babylonian <mask> <mask> <mask> with the Hittites, ancient and Palestine, in who the afinal period with ancient Greece, <mask> <mask> used.	Synchronisms with other chronologies, the most important of these being with the Assyrian and Babylonian chronologies, but synchronisms with the Hittites, ancient Palestine, and in the final period with ancient Greece, are also used.
<mask> <mask> <mask> synchronism of in 18th the century BC where <mask> years stela of <mask> Governor Byblos Yantinu that indicates Neferhotep pharaoh I contemporary was with kings <mask> Mari and <mask> of Babylon.	The earliest such synchronism is in the 18th century BC where a stela of the Governor of Byblos Yantinu indicates that pharaoh Neferhotep I was contemporary with kings Zimri-Lim of Mari and Hammurabi of Babylon.
Other synchronisms early to date <mask> 15th century during BC, <mask> <msak> when the have a <mask> quantity <mask> his diplomatic correspondence beiwen the <mask> III Amenhotep and <mask> <mask> various Near Eastern monarchs.	Other early synchronisms date to the 15th century BC, during the Amarna Period, when we have a considerable quantity of diplomatic correspondence between the Egyptian Kings Amenhotep III and Akhenaten, and various Near Eastern monarchs.
<mask> the are Third Intermediate Shoshenq Period, I been ascribed a <mask> relative a to Rehoboam and <mask> system <mask> based Kitchen, on biblical about passages Shishak's th campaign.	For the Third Intermediate Period, Shoshenq I has been ascribed a date relative to Rehoboam and the Eponym dating system by Kenneth Kitchen, based on biblical passages about Shishak's campaign.
The documentationepoor also of <mask> find s<mask> the also Serapeum compounds <mask> difficulties who in using these records.	The poor documentation of these finds in the Serapeum also compounds the difficulties in using these records.
Parker to that argue the dates of the Twelfth dynasty could was be <mask> with absolute precision.	Parker to argue that the dates of the Twelfth dynasty could be fixed with absolute precision.
More <mask> was research eroded has this <mask> <mask> of many the <mask> used the with Sothic s Cycle, as aresult <mask> have moved <mask> from on relying this Cycle.	More recent research has eroded this confidence, questioning many of the assumptions used with the Sothic Cycle, and as a result experts have moved away from relying on this Cycle.
Redford, in attempting to fix the date of the end of the Eighteenth dynasty, almost completely ignores the Sothic evidence, relying on synchronicities between Egypt and Assyria (by way of the Hittites), and help from astronomical observations.	Redford, in attempting to fix the date of the end of the Eighteenth dynasty, almost completely ignores the Sothic evidence, relying on synchronicities between Egypt and Assyria (by way of the Hittites), and help from astronomical observations.
This an is especially for the Early Dynastic period, Egyptologioal consensus <mask> been with possible within <mask> of about three is or four centuries.	This is useful especially for the Early Dynastic period, where Egyptological consensus has only been possible within a range of about three or four centuries.
<mask> study <mask> a First <mask> <mask> the in or <mask> century, <mask> <mas>k opinions scholarly placingn it of in between a the 34th and centuries. 30th	A 2013 study found a First Dynasty start in the 32nd or 31st century, compatible with scholarly opinions placing it in between the 34th and 30th centuries.
<mask> have been suggestions <mask> <mask> solution <mask> adjusting dates towards a <mask> tn date the 16th <mask> BC, <mask> her as <mask> 2014 in the <mask> not been resolved.	"Since 2012, there have been suggestions that the solution lies in adjusting both dates towards a ""compromise"" date in the mid 16th century BC, but as of 2014 the problem has not been satisfactorily resolved."
